Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,67.0,-75.139206,-90.0,top
C3,10uF,C_0603_1608Metric,34.225,-69.0,180.0,top
C4,10uF,CP_EIA-3216-18_Kemet-A,36.311102,-63.498734,90.0,top
D1,1N4148,D_SOD-123,66.915096,-21.620365,180.0,top
D2,1N4148,D_SOD-123,66.65,-36.186988,180.0,top
D3,1N4148,D_SOD-123,66.986195,-51.539596,180.0,top
D4,1N4148,D_SOD-123,25.030181,-21.564682,0.0,top
D5,1N4148,D_SOD-123,25.0,-36.319623,0.0,top
D6,1N4148,D_SOD-123,25.033759,-51.295199,0.0,top
J1,Barrel_Jack,BarrelJack_Horizontal,25.9575,-73.914,90.0,top
J2,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,66.98,-28.79,90.0,top
J3,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,66.98,-43.79,90.0,top
J4,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,66.98,-58.79,90.0,top
J5,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,25.02,-28.81,-90.0,top
J6,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,25.02,-43.81,-90.0,top
J7,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,25.02,-58.81,-90.0,top
Q1,2N7002,SOT-23,48.448,-43.2585,270.0,top
R1,10K,R_0603_1608Metric,42.299,-38.903,0.0,top
R2,10K,R_0603_1608Metric,48.649,-39.68383,0.0,top
R3,10K,R_0603_1608Metric,48.4865,-47.027992,180.0,top
R4,2.4K,R_0603_1608Metric,57.825,-69.0,180.0,top
R5,2.4K,R_0603_1608Metric,59.470648,-67.171351,180.0,top
R6,10K,R_0603_1608Metric,42.299,-45.566969,0.0,top
R7,10K,R_0603_1608Metric,42.299,-47.788292,0.0,top
R8,10K,R_0603_1608Metric,42.299,-41.124323,0.0,top
R9,10K,R_0603_1608Metric,42.299,-43.345646,0.0,top
R10,10K,R_0603_1608Metric,42.203176,-50.009615,0.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,42.15,-64.7,180.0,top
U3,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,69.030258,-75.126206,180.0,top
U4,ESP32_DevKit_V1_DOIT,esp32_devkit_v1_doit,46.0,-29.0,0.0,top
